Abbottabad Heights Road, Abbottabad, Khyber Pakhtunkhwa
Khaira Gali, Abbottabad, Khyber Pakhtunkhwa
Khursheed Azam Town, Abbottabad, Khyber Pakhtunkhwa
Kuzagali, Abbottabad, Khyber Pakhtunkhwa
Lalazar Colony, Abbottabad, Khyber Pakhtunkhwa
Link Road, Abbottabad, Khyber Pakhtunkhwa
Lower Salhad, Abbottabad, Khyber Pakhtunkhwa
Main Mansehra Road, Abbottabad, Khyber Pakhtunkhwa
Maira Muzzafar, Abbottabad, Khyber Pakhtunkhwa
Maira Tal Road, Abbottabad, Khyber Pakhtunkhwa
Malik Pur, Abbottabad, Khyber Pakhtunkhwa
Mandian, Abbottabad, Khyber Pakhtunkhwa
Mangal, Abbottabad, Khyber Pakhtunkhwa
Mir Alam Town, Abbottabad, Khyber Pakhtunkhwa
Mirpur, Abbottabad, Khyber Pakhtunkhwa
Mirpur Maira, Abbottabad, Khyber Pakhtunkhwa
Mochi Colony, Abbottabad, Khyber Pakhtunkhwa
Moorti Road, Abbottabad, Khyber Pakhtunkhwa
Muqaddas Town, Abbottabad, Khyber Pakhtunkhwa
Murree Road, Abbottabad, Khyber Pakhtunkhwa
Narian Road, Abbottabad, Khyber Pakhtunkhwa
Narrian, Abbottabad, Khyber Pakhtunkhwa
Nathia Gali, Abbottabad, Khyber Pakhtunkhwa
Nawan Shehr Town, Abbottabad, Khyber Pakhtunkhwa
Nawansher, Abbottabad, Khyber Pakhtunkhwa
Neelay Pare, Abbottabad, Khyber Pakhtunkhwa
Officers Colony, Abbottabad, Khyber Pakhtunkhwa
Others, Abbottabad, Khyber Pakhtunkhwa
Phul Ghulab Road, Abbottabad, Khyber Pakhtunkhwa
PMA Road, Abbottabad, Khyber Pakhtunkhwa
Police Officers Colony, Abbottabad, Khyber Pakhtunkhwa
Qalandarabad, Abbottabad, Khyber Pakhtunkhwa
Rahmatabad Kharian, Abbottabad, Khyber Pakhtunkhwa
Salhad, Abbottabad, Khyber Pakhtunkhwa
Shahzaman Colony, Abbottabad, Khyber Pakhtunkhwa
Sherwan Road, Abbottabad, Khyber Pakhtunkhwa
Shimla Hill Road, Abbottabad, Khyber Pakhtunkhwa
Shimla Pahari, Abbottabad, Khyber Pakhtunkhwa
Sir Syed Colony, Abbottabad, Khyber Pakhtunkhwa
Small Industry Road, Abbottabad, Khyber Pakhtunkhwa
Supply, Abbottabad, Khyber Pakhtunkhwa
Tarhana, Abbottabad, Khyber Pakhtunkhwa
Tauheed Colony, Abbottabad, Khyber Pakhtunkhwa
Thanda Choha, Abbottabad, Khyber Pakhtunkhwa
Thanda Maira, Abbottabad, Khyber Pakhtunkhwa
Touheedabad, Abbottabad, Khyber Pakhtunkhwa
Township Scheme, Abbottabad, Khyber Pakhtunkhwa
University Town, Abbottabad, Khyber Pakhtunkhwa
Upper Salhad, Abbottabad, Khyber Pakhtunkhwa
Usmanabad, Abbottabad, Khyber Pakhtunkhwa
Kaghan Valley, Balakot, Khyber Pakhtunkhwa
Naran Road, Balakot, Khyber Pakhtunkhwa
Others, Balakot, Khyber Pakhtunkhwa
Cantt, Bannu, Khyber Pakhtunkhwa
Others, Bannu, Khyber Pakhtunkhwa
Batkhela Road, Batkhela, Khyber Pakhtunkhwa
Others, Batkhela, Khyber Pakhtunkhwa
Alpha Town, Buner, Khyber Pakhtunkhwa
Chinglai, Buner, Khyber Pakhtunkhwa
Dagai, Buner, Khyber Pakhtunkhwa
Daggar, Buner, Khyber Pakhtunkhwa
Dandar, Buner, Khyber Pakhtunkhwa
Ghurghushto, Buner, Khyber Pakhtunkhwa
Hisarbaba, Buner, Khyber Pakhtunkhwa
Khali Kalay, Buner, Khyber Pakhtunkhwa
Others, Buner, Khyber Pakhtunkhwa
Panjtar, Buner, Khyber Pakhtunkhwa
Sowari, Buner, Khyber Pakhtunkhwa
Totalai, Buner, Khyber Pakhtunkhwa
Behlola, Charsadda, Khyber Pakhtunkhwa
Charsadda Road, Charsadda, Khyber Pakhtunkhwa
Ghani Khan Road, Charsadda, Khyber Pakhtunkhwa
Gharibabad, Charsadda, Khyber Pakhtunkhwa
Kulla Dheri, Charsadda, Khyber Pakhtunkhwa
Mardan Road, Charsadda, Khyber Pakhtunkhwa
NIsata, Charsadda, Khyber Pakhtunkhwa
Nowshera Road, Charsadda, Khyber Pakhtunkhwa
Others, Charsadda, Khyber Pakhtunkhwa
Turangzai Baba Town, Charsadda, Khyber Pakhtunkhwa
Kalash, Chitral, Khyber Pakhtunkhwa
Others, Chitral, Khyber Pakhtunkhwa
Awami Villas, Dera Ismail Khan, Khyber Pakhtunkhwa
Cantt, Dera Ismail Khan, Khyber Pakhtunkhwa
Chashma Right Bank Canal Road, Dera Ismail Khan, Khyber Pakhtunkhwa
Chowk Tank Adda, Dera Ismail Khan, Khyber Pakhtunkhwa
Defence View Society, Dera Ismail Khan, Khyber Pakhtunkhwa
East Circular Road, Dera Ismail Khan, Khyber Pakhtunkhwa
Grid Station Road, Dera Ismail Khan, Khyber Pakhtunkhwa
Gulshan Colony, Dera Ismail Khan, Khyber Pakhtunkhwa
Hamdan Garden, Dera Ismail Khan, Khyber Pakhtunkhwa
Kech, Dera Ismail Khan, Khyber Pakhtunkhwa
North Circular Road, Dera Ismail Khan, Khyber Pakhtunkhwa
Others, Dera Ismail Khan, Khyber Pakhtunkhwa
Paharpur, Dera Ismail Khan, Khyber Pakhtunkhwa
Paroa, Dera Ismail Khan, Khyber Pakhtunkhwa
Tank Road, Dera Ismail Khan, Khyber Pakhtunkhwa
Others, Dobian, Khyber Pakhtunkhwa
Others, FATA, Khyber Pakhtunkhwa
Ayubia, Galyat, Khyber Pakhtunkhwa
Changla Gali, Galyat, Khyber Pakhtunkhwa
Dunga Gali, Galyat, Khyber Pakhtunkhwa
Iceland Society, Galyat, Khyber Pakhtunkhwa
Kalabagh - Nathia Gali, Galyat, Khyber Pakhtunkhwa
Khaira Gali, Galyat, Khyber Pakhtunkhwa
Khanspur, Galyat, Khyber Pakhtunkhwa
Others, Galyat, Khyber Pakhtunkhwa
Thandiani, Galyat, Khyber Pakhtunkhwa
Hangu Township, Hangu, Khyber Pakhtunkhwa
Others, Hangu, Khyber Pakhtunkhwa
Bagra, Haripur, Khyber Pakhtunkhwa
Chak Shah Muhammad, Haripur, Khyber Pakhtunkhwa
Chechian, Haripur, Khyber Pakhtunkhwa
Chohar, Haripur, Khyber Pakhtunkhwa
Circular Road, Haripur, Khyber Pakhtunkhwa
Darvesh, Haripur, Khyber Pakhtunkhwa
Dheenda Road, Haripur, Khyber Pakhtunkhwa
Gehr Khan, Haripur, Khyber Pakhtunkhwa
Gulshan Bashir Housing Society, Haripur, Khyber Pakhtunkhwa
Hattar, Haripur, Khyber Pakhtunkhwa
Hattar Industrial Estate, Haripur, Khyber Pakhtunkhwa
Hilltop Country Club, Haripur, Khyber Pakhtunkhwa
Karakoram Highway, Haripur, Khyber Pakhtunkhwa
Khalabat Township, Haripur, Khyber Pakhtunkhwa
Khanpur, Haripur, Khyber Pakhtunkhwa
Khanpur Road, Haripur, Khyber Pakhtunkhwa
Kot Najibullah, Haripur, Khyber Pakhtunkhwa
Lora Chowk, Haripur, Khyber Pakhtunkhwa
Main Bazar Road, Haripur, Khyber Pakhtunkhwa
Malikyar, Haripur, Khyber Pakhtunkhwa
Mankarai Road, Haripur, Khyber Pakhtunkhwa
Mirpur Road, Haripur, Khyber Pakhtunkhwa
Model City, Haripur, Khyber Pakhtunkhwa
Model Town, Haripur, Khyber Pakhtunkhwa
Mohalla Darwesh, Haripur, Khyber Pakhtunkhwa
Mohalla Khoo, Haripur, Khyber Pakhtunkhwa
Mohalla Malik Pura, Haripur, Khyber Pakhtunkhwa
Mohalla Qadeem, Haripur, Khyber Pakhtunkhwa
Murad Abad, Haripur, Khyber Pakhtunkhwa
Nartopa Link Road, Haripur, Khyber Pakhtunkhwa
Naseem Town Sector B, Haripur, Khyber Pakhtunkhwa
Noor Colony, Haripur, Khyber Pakhtunkhwa
Others, Haripur, Khyber Pakhtunkhwa
Panian, Haripur, Khyber Pakhtunkhwa
Pine City, Haripur, Khyber Pakhtunkhwa
Pir Sohawa Road, Haripur, Khyber Pakhtunkhwa
Rangeela Road, Haripur, Khyber Pakhtunkhwa
Rehana, Haripur, Khyber Pakhtunkhwa
Sarai Gadai, Haripur, Khyber Pakhtunkhwa
Sarai Saleh, Haripur, Khyber Pakhtunkhwa
Shakarshah Road, Haripur, Khyber Pakhtunkhwa
Sikandarpur, Haripur, Khyber Pakhtunkhwa
Sikanderpur Road, Haripur, Khyber Pakhtunkhwa
Silkway Plaza, Haripur, Khyber Pakhtunkhwa
Talokar, Haripur, Khyber Pakhtunkhwa
Talokar Road, Haripur, Khyber Pakhtunkhwa
Tarbela Road, Haripur, Khyber Pakhtunkhwa
Tehsil Road, Haripur, Khyber Pakhtunkhwa
TIP Housing Society, Haripur, Khyber Pakhtunkhwa
University Town, Haripur, Khyber Pakhtunkhwa
Others, Kaghan, Khyber Pakhtunkhwa
Indus Highway, Karak, Khyber Pakhtunkhwa
Others, Karak, Khyber Pakhtunkhwa
Bannu Road, Kohat, Khyber Pakhtunkhwa
Bora Ghari, Kohat, Khyber Pakhtunkhwa
Canal Road, Kohat, Khyber Pakhtunkhwa
College Town, Kohat, Khyber Pakhtunkhwa
Darra Adam Khel, Kohat, Khyber Pakhtunkhwa
Gul Maluk Road, Kohat, Khyber Pakhtunkhwa
Hangu Bypass, Kohat, Khyber Pakhtunkhwa
Happy Valley, Kohat, Khyber Pakhtunkhwa
Hungu Phatak, Kohat, Khyber Pakhtunkhwa
Indus Hwy Link, Kohat, Khyber Pakhtunkhwa
KDA Kohat, Kohat, Khyber Pakhtunkhwa
Khushal Garh, Kohat, Khyber Pakhtunkhwa
Kohat - Hangu Road, Kohat, Khyber Pakhtunkhwa
Kohat Enclave, Kohat, Khyber Pakhtunkhwa
Kohat Township, Kohat, Khyber Pakhtunkhwa
Lachi, Kohat, Khyber Pakhtunkhwa
Mian Khel Bazar, Kohat, Khyber Pakhtunkhwa
Model Town, Kohat, Khyber Pakhtunkhwa
Mohammad Zai, Kohat, Khyber Pakhtunkhwa
Nasrat Khel, Kohat, Khyber Pakhtunkhwa
Others, Kohat, Khyber Pakhtunkhwa
Peshawar Road, Kohat, Khyber Pakhtunkhwa
Rawalpindi Road, Kohat, Khyber Pakhtunkhwa
Tandu Dam Road, Kohat, Khyber Pakhtunkhwa
Zahoor e Islam Road, Kohat, Khyber Pakhtunkhwa
Zargaran Bazaar, Kohat, Khyber Pakhtunkhwa
Lakki Marwat Road, Laki Marwat, Khyber Pakhtunkhwa
Machan Khel, Laki Marwat, Khyber Pakhtunkhwa
Mohallah Baghban, Laki Marwat, Khyber Pakhtunkhwa
Others, Laki Marwat, Khyber Pakhtunkhwa
Gul Abad, Lower Dir, Khyber Pakhtunkhwa
Alladand - Thana Road, Malakand, Khyber Pakhtunkhwa
Baizo Kharki, Malakand, Khyber Pakhtunkhwa
Batkhela, Malakand, Khyber Pakhtunkhwa
Batkhela Road, Malakand, Khyber Pakhtunkhwa
Canal Road, Malakand, Khyber Pakhtunkhwa
Chakdarra, Malakand, Khyber Pakhtunkhwa
Dargai, Malakand, Khyber Pakhtunkhwa
Dobian, Malakand, Khyber Pakhtunkhwa
Durgani Road, Malakand, Khyber Pakhtunkhwa
Harichand, Malakand, Khyber Pakhtunkhwa
Jalalpur Road, Malakand, Khyber Pakhtunkhwa
Katlung Road, Malakand, Khyber Pakhtunkhwa
Khankor, Malakand, Khyber Pakhtunkhwa
Mohalla Akbarabad, Malakand, Khyber Pakhtunkhwa
Others, Malakand, Khyber Pakhtunkhwa
Plai Buner Road, Malakand, Khyber Pakhtunkhwa
Sakhakot, Malakand, Khyber Pakhtunkhwa
Aqil Avenue, Mansehra, Khyber Pakhtunkhwa
Baidra Road, Mansehra, Khyber Pakhtunkhwa
Chattar Plain, Mansehra, Khyber Pakhtunkhwa
Chikriyali Road, Mansehra, Khyber Pakhtunkhwa
Data Road, Mansehra, Khyber Pakhtunkhwa
Dhangri Chowk, Mansehra, Khyber Pakhtunkhwa
Garhi Habibullah, Mansehra, Khyber Pakhtunkhwa
Ghazi Kot, Mansehra, Khyber Pakhtunkhwa
Ghazikot Township, Mansehra, Khyber Pakhtunkhwa
Green City Housing Scheme, Mansehra, Khyber Pakhtunkhwa
Jabori, Mansehra, Khyber Pakhtunkhwa
Karakoram Highway, Mansehra, Khyber Pakhtunkhwa
Lalazar, Mansehra, Khyber Pakhtunkhwa
Lassan Nawab Sahib Road, Mansehra, Khyber Pakhtunkhwa
Mansehra Bypass Road, Mansehra, Khyber Pakhtunkhwa
Mansehra International College Road, Mansehra, Khyber Pakhtunkhwa
Oghi Road, Mansehra, Khyber Pakhtunkhwa
Old College Road, Mansehra, Khyber Pakhtunkhwa
Others, Mansehra, Khyber Pakhtunkhwa
Pakhwal Chowk, Mansehra, Khyber Pakhtunkhwa
Paksair, Mansehra, Khyber Pakhtunkhwa
Roh, Mansehra, Khyber Pakhtunkhwa
Shinkiari, Mansehra, Khyber Pakhtunkhwa
Babiani Road, Mardan, Khyber Pakhtunkhwa
Babu Mohalla, Mardan, Khyber Pakhtunkhwa
Baghdada, Mardan, Khyber Pakhtunkhwa
Baghdada Road, Mardan, Khyber Pakhtunkhwa
Bank Road, Mardan, Khyber Pakhtunkhwa
Bari Chum, Mardan, Khyber Pakhtunkhwa
Bicket Gunj, Mardan, Khyber Pakhtunkhwa
Bijli Ghar, Mardan, Khyber Pakhtunkhwa
Canal Road, Mardan, Khyber Pakhtunkhwa
Cantt, Mardan, Khyber Pakhtunkhwa
Chalo, Mardan, Khyber Pakhtunkhwa
Charsadda Road, Mardan, Khyber Pakhtunkhwa
Dargai, Mardan, Khyber Pakhtunkhwa
Dobian Mardan Road, Mardan, Khyber Pakhtunkhwa
Faqirabad, Mardan, Khyber Pakhtunkhwa
Fazal Garden, Mardan, Khyber Pakhtunkhwa
Forefront Gold City, Mardan, Khyber Pakhtunkhwa
Gaju Khan Road, Mardan, Khyber Pakhtunkhwa
Ghalla Dher, Mardan, Khyber Pakhtunkhwa
Green Acres City, Mardan, Khyber Pakhtunkhwa
Green Acres Town, Mardan, Khyber Pakhtunkhwa
Green Valley, Mardan, Khyber Pakhtunkhwa
GT Road, Mardan, Khyber Pakhtunkhwa
Gulberg Town, Mardan, Khyber Pakhtunkhwa
Guli Bagh, Mardan, Khyber Pakhtunkhwa
Guli Bagh Road, Mardan, Khyber Pakhtunkhwa
Hoti, Mardan, Khyber Pakhtunkhwa
Icon Valley, Mardan, Khyber Pakhtunkhwa
Irum Colony, Mardan, Khyber Pakhtunkhwa
Jalaroona Mardan, Mardan, Khyber Pakhtunkhwa
Janabad, Mardan, Khyber Pakhtunkhwa
Janday, Mardan, Khyber Pakhtunkhwa
Kas Koroona, Mardan, Khyber Pakhtunkhwa
Katlung Road, Mardan, Khyber Pakhtunkhwa
Khanjar, Mardan, Khyber Pakhtunkhwa
Kochyano Kalay, Mardan, Khyber Pakhtunkhwa
Koragh, Mardan, Khyber Pakhtunkhwa
Maho Dheri Road, Mardan, Khyber Pakhtunkhwa
Mall Road, Mardan, Khyber Pakhtunkhwa
Mani Khel, Mardan, Khyber Pakhtunkhwa
Mardan Khas, Mardan, Khyber Pakhtunkhwa
Mian Killy, Mardan, Khyber Pakhtunkhwa
Mohalla Aka Khel No 1, Mardan, Khyber Pakhtunkhwa
Mohalla Aka Khel No 2, Mardan, Khyber Pakhtunkhwa
Mohalla Amokhail, Mardan, Khyber Pakhtunkhwa
Mohalla Bokyan, Mardan, Khyber Pakhtunkhwa
Multi Villas, Mardan, Khyber Pakhtunkhwa
Nisata Road, Mardan, Khyber Pakhtunkhwa
Nowshera Road, Mardan, Khyber Pakhtunkhwa
Orchard Villas, Mardan, Khyber Pakhtunkhwa
Others, Mardan, Khyber Pakhtunkhwa
Palo Dheri, Mardan, Khyber Pakhtunkhwa
Par Hoti, Mardan, Khyber Pakhtunkhwa
Park City, Mardan, Khyber Pakhtunkhwa
Plottage One Residencia, Mardan, Khyber Pakhtunkhwa
Qazi Bashir Road, Mardan, Khyber Pakhtunkhwa
Raam Bagh, Mardan, Khyber Pakhtunkhwa
Ring Road, Mardan, Khyber Pakhtunkhwa
Royal Garden, Mardan, Khyber Pakhtunkhwa
Sadi kheel, Mardan, Khyber Pakhtunkhwa
Shamsi Road, Mardan, Khyber Pakhtunkhwa
Sharifabad, Mardan, Khyber Pakhtunkhwa
Shehryar Colony, Mardan, Khyber Pakhtunkhwa
Sheikh Maltoon Town, Mardan, Khyber Pakhtunkhwa
Shergarh, Mardan, Khyber Pakhtunkhwa
Sowaryan, Mardan, Khyber Pakhtunkhwa
Sugar Mill Bypass Road, Mardan, Khyber Pakhtunkhwa
Sun City, Mardan, Khyber Pakhtunkhwa
Swabi Road, Mardan, Khyber Pakhtunkhwa
Takhbai Road, Mardan, Khyber Pakhtunkhwa
Takht Bhai, Mardan, Khyber Pakhtunkhwa
The Gardens, Mardan, Khyber Pakhtunkhwa
Toru, Mardan, Khyber Pakhtunkhwa
Toru - Mayar Road, Mardan, Khyber Pakhtunkhwa
Toru Minor, Mardan, Khyber Pakhtunkhwa
Toru Road, Mardan, Khyber Pakhtunkhwa
Bangladesh, Mingaora, Khyber Pakhtunkhwa
GT Road, Mingaora, Khyber Pakhtunkhwa
Haji Baba Road, Mingaora, Khyber Pakhtunkhwa
Makan Bagh, Mingaora, Khyber Pakhtunkhwa
Malam Jabba Road, Mingaora, Khyber Pakhtunkhwa
Others, Mingaora, Khyber Pakhtunkhwa
Batakundi, Naran, Khyber Pakhtunkhwa
Katha Naran, Naran, Khyber Pakhtunkhwa
Mansehra - Naran - Jalkhad - Chilas Road, Naran, Khyber Pakhtunkhwa
Motel Area, Naran, Khyber Pakhtunkhwa
Others, Naran, Khyber Pakhtunkhwa
Saiful Muluk Road, Naran, Khyber Pakhtunkhwa
Abu Obaida Colony, Nowshera, Khyber Pakhtunkhwa
AC Colony, Nowshera, Khyber Pakhtunkhwa
Akbarpura, Nowshera, Khyber Pakhtunkhwa
Akora Khattak, Nowshera, Khyber Pakhtunkhwa
Akramabad, Nowshera, Khyber Pakhtunkhwa
Amangarh, Nowshera, Khyber Pakhtunkhwa
Armour Colony, Nowshera, Khyber Pakhtunkhwa
ASC Housing Society, Nowshera, Khyber Pakhtunkhwa
Ashoorabad, Nowshera, Khyber Pakhtunkhwa
Azakhel, Nowshera, Khyber Pakhtunkhwa
Badrashi, Nowshera, Khyber Pakhtunkhwa
Cantt, Nowshera, Khyber Pakhtunkhwa
Dheri Kati Khel, Nowshera, Khyber Pakhtunkhwa
DKK Paradise Road, Nowshera, Khyber Pakhtunkhwa
Golden Villas, Nowshera, Khyber Pakhtunkhwa
GT Road, Nowshera, Khyber Pakhtunkhwa
Hakimabad, Nowshera, Khyber Pakhtunkhwa
Jalozai Housing Scheme, Nowshera, Khyber Pakhtunkhwa
Jehangira, Nowshera, Khyber Pakhtunkhwa
Kaka Sahib Road, Nowshera, Khyber Pakhtunkhwa
Kalan, Nowshera, Khyber Pakhtunkhwa
Kandar, Nowshera, Khyber Pakhtunkhwa
Karimi Town, Nowshera, Khyber Pakhtunkhwa
Khalil Town, Nowshera, Khyber Pakhtunkhwa
Khat Kalay, Nowshera, Khyber Pakhtunkhwa
Khattak Colony, Nowshera, Khyber Pakhtunkhwa
Khayaban-e-Peshawar, Nowshera, Khyber Pakhtunkhwa
Khushal Garden, Nowshera, Khyber Pakhtunkhwa
Khyber Garden, Nowshera, Khyber Pakhtunkhwa
Madina Colony, Nowshera, Khyber Pakhtunkhwa
Manki Sharif Road, Nowshera, Khyber Pakhtunkhwa
Mir Hassan Colony, Nowshera, Khyber Pakhtunkhwa
Mohabbat Khel, Nowshera, Khyber Pakhtunkhwa
Mohalla Meeta Khel, Nowshera, Khyber Pakhtunkhwa
Nihal Pura, Nowshera, Khyber Pakhtunkhwa
Nowshera - Mardan Road, Nowshera, Khyber Pakhtunkhwa
Nowshera Bypass Road, Nowshera, Khyber Pakhtunkhwa
Others, Nowshera, Khyber Pakhtunkhwa
Pabbi, Nowshera, Khyber Pakhtunkhwa
Pir Pai Road, Nowshera, Khyber Pakhtunkhwa
Risalpur Town, Nowshera, Khyber Pakhtunkhwa
Saddar, Nowshera, Khyber Pakhtunkhwa
Shah Mir Garhi, Nowshera, Khyber Pakhtunkhwa
Shama Town, Nowshera, Khyber Pakhtunkhwa
Wapda Town, Nowshera, Khyber Pakhtunkhwa
Abdara, Peshawar, Khyber Pakhtunkhwa
Abdara Road, Peshawar, Khyber Pakhtunkhwa
Academy Town, Peshawar, Khyber Pakhtunkhwa
Achar, Peshawar, Khyber Pakhtunkhwa
Achini Bala, Peshawar, Khyber Pakhtunkhwa
Achini Payan Road, Peshawar, Khyber Pakhtunkhwa
Adeera, Peshawar, Khyber Pakhtunkhwa
Afghan Colony, Peshawar, Khyber Pakhtunkhwa
Afridi Kalay, Peshawar, Khyber Pakhtunkhwa
Agha Mir Jani Road, Peshawar, Khyber Pakhtunkhwa
Akbar Colony, Peshawar, Khyber Pakhtunkhwa
Akbar Town, Peshawar, Khyber Pakhtunkhwa
Al Aqsa Town, Peshawar, Khyber Pakhtunkhwa
Al Haram Model Town, Peshawar, Khyber Pakhtunkhwa
Al-Haram Green, Peshawar, Khyber Pakhtunkhwa
Al-Moeez Housing Society, Peshawar, Khyber Pakhtunkhwa
Albadar Town, Peshawar, Khyber Pakhtunkhwa
Ali Model Town, Peshawar, Khyber Pakhtunkhwa
Alif Abad, Peshawar, Khyber Pakhtunkhwa
Alpha Homes, Peshawar, Khyber Pakhtunkhwa
Anam Sanam Chowk, Peshawar, Khyber Pakhtunkhwa
Arbab Road, Peshawar, Khyber Pakhtunkhwa
Army Housing Scheme, Peshawar, Khyber Pakhtunkhwa
Asad Town, Peshawar, Khyber Pakhtunkhwa
Ashraf Road, Peshawar, Khyber Pakhtunkhwa
Ashrafia Colony, Peshawar, Khyber Pakhtunkhwa
Asia Market, Peshawar, Khyber Pakhtunkhwa
Askari 11, Peshawar, Khyber Pakhtunkhwa
Askari 2, Peshawar, Khyber Pakhtunkhwa
Askari 3, Peshawar, Khyber Pakhtunkhwa
Askari 5, Peshawar, Khyber Pakhtunkhwa
Askari 6, Peshawar, Khyber Pakhtunkhwa
AWT Housing Scheme Badabair, Peshawar, Khyber Pakhtunkhwa
Bahria Town, Peshawar, Khyber Pakhtunkhwa
Bamba Road, Peshawar, Khyber Pakhtunkhwa
Bara Road, Peshawar, Khyber Pakhtunkhwa
Barra Chowk, Peshawar, Khyber Pakhtunkhwa
Bashirabad, Peshawar, Khyber Pakhtunkhwa
Bazar Kalan, Peshawar, Khyber Pakhtunkhwa
Bilalabad, Peshawar, Khyber Pakhtunkhwa
Bilor Town, Peshawar, Khyber Pakhtunkhwa
Board Deans Complex, Peshawar, Khyber Pakhtunkhwa
Budhai Road, Peshawar, Khyber Pakhtunkhwa
Budhni Road, Peshawar, Khyber Pakhtunkhwa
Canal Road, Peshawar, Khyber Pakhtunkhwa
Canal Town, Peshawar, Khyber Pakhtunkhwa
Cantt, Peshawar, Khyber Pakhtunkhwa
Chaghar Matti, Peshawar, Khyber Pakhtunkhwa
Chamkani, Peshawar, Khyber Pakhtunkhwa
Charkhana Road, Peshawar, Khyber Pakhtunkhwa
Charsadda Road, Peshawar, Khyber Pakhtunkhwa
Chinar Road, Peshawar, Khyber Pakhtunkhwa
Chowk Yadgar, Peshawar, Khyber Pakhtunkhwa
Chughal Pura, Peshawar, Khyber Pakhtunkhwa
Circular Road, Peshawar, Khyber Pakhtunkhwa
Citi Housing, Peshawar, Khyber Pakhtunkhwa
City Circular Road, Peshawar, Khyber Pakhtunkhwa
Civil Quarters, Peshawar, Khyber Pakhtunkhwa
Dabgari, Peshawar, Khyber Pakhtunkhwa
Dabgari Gardens, Peshawar, Khyber Pakhtunkhwa
Dalazak Road, Peshawar, Khyber Pakhtunkhwa
Danishabad, Peshawar, Khyber Pakhtunkhwa
Darbar Murshid Abad, Peshawar, Khyber Pakhtunkhwa
Defence Officer Colony, Peshawar, Khyber Pakhtunkhwa
DHA Defence, Peshawar, Khyber Pakhtunkhwa
Dilazak Road, Peshawar, Khyber Pakhtunkhwa
Dora Road, Peshawar, Khyber Pakhtunkhwa
Doranpur, Peshawar, Khyber Pakhtunkhwa
Eid Gah Road, Peshawar, Khyber Pakhtunkhwa
Faisal Colony Road, Peshawar, Khyber Pakhtunkhwa
Falcon Complex, Peshawar, Khyber Pakhtunkhwa
Faqeerabad Road, Peshawar, Khyber Pakhtunkhwa
Fazaia Housing Scheme, Peshawar, Khyber Pakhtunkhwa
Ferozabad, Peshawar, Khyber Pakhtunkhwa
Fida Abad Colony, Peshawar, Khyber Pakhtunkhwa
Garhi Atta Muhammad, Peshawar, Khyber Pakhtunkhwa
Garhi Baloch, Peshawar, Khyber Pakhtunkhwa
Garhi Faizullah City, Peshawar, Khyber Pakhtunkhwa
